latency,percentile
149101,0.01
179235,0.05
205362,0.1
237825,0.2
259513,0.3
278011,0.4
295858,0.5
313406,0.6
332044,0.7
353302,0.8
383189,0.9
407773,0.95
424012,0.97
452664,0.99
467631,0.995
495187,0.999
