latency,percentile
75.863,0.01
89.984,0.05
99.684,0.1
112.465,0.2
122.295,0.3
131.295,0.4
140.056,0.5
149.406,0.6
160.197,0.7
175.407,0.8
7977.12,0.9
39536.5,0.95
67832.6,0.97
120172,0.99
134571,0.995
174128,0.999

