latency,percentile
145164,0.01
185261,0.05
212622,0.1
258705,0.2
298038,0.3
337419,0.4
382045,0.5
432947,0.6
487780,0.7
550893,0.8
647089,0.9
745064,0.95
815651,0.97
914027,0.99
952007,0.995
1.00925e+06,0.999
