latency,percentile
126856,0.01
159642,0.05
183947,0.1
222405,0.2
248994,0.3
269409,0.4
289131,0.5
309124,0.6
330894,0.7
357249,0.8
411182,0.9
553554,0.95
665516,0.97
933256,0.99
993300,0.995
1.078e+06,0.999

