latency,percentile
69926.5,0.01
124601,0.05
138894,0.1
156926,0.2
172155,0.3
186958,0.4
201582,0.5
216787,0.6
233484,0.7
255132,0.8
303764,0.9
443015,0.95
639692,0.97
854749,0.99
905208,0.995
995786,0.999
