threads,txn/s
2,874307
4,1.70166e+06
8,3.07676e+06
16,5.04216e+06
32,7.24494e+06
64,7.3684e+06
96,7.32914e+06
128,7.43124e+06
160,7.44161e+06
192,7.37908e+06
224,7.39242e+06
