latency,percentile
293.063,0.01
512.342,0.05
864.338,0.1
6093.55,0.2
26968.2,0.3
46714.4,0.4
58378.7,0.5
67101.7,0.6
74304.1,0.7
81437.8,0.8
90264.8,0.9
96596.8,0.95
100257,0.97
106145,0.99
109029,0.995
119899,0.999
