latency,percentile
241426,0.01
369865,0.05
459842,0.1
623754,0.2
710434,0.3
757648,0.4
797407,0.5
837240,0.6
877752,0.7
919864,0.8
969240,0.9
1.00218e+06,0.95
1.01871e+06,0.97
1.0471e+06,0.99
1.06075e+06,0.995
1.08942e+06,0.999


